key,床版又は小梁計算用,大梁、柱又は基礎計算用,地震力計算用,備考
屋上 常時人が使用する場合（学校、百貨店の類を除く）,1800,1300,600,「令」第85条の屋上広場を準用。
屋上 常時人が使用する場合（学校、百貨店の類）,2900,2400,1300,「令」第85条の屋上広場を準用。
屋上 通常人が使用しない場合,980,600,400,
屋上 鉄骨造体育館、武道場等,980,0,0,短期荷重とする（作業荷重を考慮）。積雪荷重及び風荷重との組合せは行わない。
事務室、会議室及び食堂,2900,1800,800,「令」第85条による。
研究室,2900,1800,800,実況に応じて算定する。
教室,2300,2100,1100,「令」第85条による。
劇場、映画館、演芸場、観覧場、公会堂、集会場その他これらに類する用途に供する建築物の客席又は集会室 固定席,2900,2600,1600,「令」第85条による。
劇場、映画館、演芸場、観覧場、公会堂、集会場その他これらに類する用途に供する建築物の客席又は集会室 その他,3500,3200,2100,「令」第85条による。
法務局登記書庫,5900,4900,3900,法務省型鋼製書架W型8段6連を配置した場合、
一般書庫、倉庫等,7800,6900,4900,通常の階高の室に満載の書架を配置した場合。
移動書架を設置する書庫、電算室の空調機室、用具庫等,11800,10300,7400,一般書庫の1.5倍程度。
一般実験室 化学系,3900,2400,1600,
一般実験室 物理系,4900,3900,2500,
電算室,4900,2400,1300,床版又は小梁計算用は電算室用既製床の耐荷重の値。他は「令」第85条の店舗の売場を準用。
機械室,4900,2400,1300,床版又は小梁計算用は機械の平均的な重量の値。他は「令」第85条の店舗の売場を準用。
体育館、武道場等,3500,3200,2100,振動等を考慮し、「令」第85条の劇場等（その他）を準用。
自動車車庫及び自動車通路,5400,3900,2000,「令」第85条による。
片持形式のバルコニー、庇等,1800,1300,600,「令」第85条のバルコニーを準用。
