,key,H,B,t1,t2,A,W,Ix,Iy,ix,iy,Zx,Zy
100×100,H-100x100x3.2x4.5,100,100,3.2,4.5,11.91,9.35,225,75,4.35,2.51,45.1,15
125×60,H-125x60x3.2x4.5,125,60,3.2,4.5,9.112,7.15,238,16.2,5.11,1.33,38,5.41
125×100,H-125x100x3.2x4.5,125,100,3.2,4.5,12.71,9.98,368,75,5.38,2.43,59,15
150×75,H-150x75x3.2x4.5,150,75,3.2,4.5,11.26,8.84,432,31.7,6.19,1.68,57.6,8.45
150×100,H-150x100x3.2x4.5,150,100,3.2,4.5,13.51,10.6,551,75,6.39,2.36,73.5,15
150×100,H-150x100x3.2x6,150,100,3.2,6,16.42,12.9,693,100,6.5,2.47,92.3,20
150×125,H-150x125x3.2x6,150,125,3.2,6,19.42,15.2,848,195,6.61,3.17,113,31.3
150×150,H-150x150x3.2x4.5,150,150,3.2,4.5,18.01,14.1,789,253,6.62,3.75,105,33.8
175×90,H-175x90x3.2x4.5,175,90,3.2,4.5,13.41,10.5,711,54.7,7.28,2.02,81.2,12.2
175×100,H-175x100x4.5x6,175,100,4.5,6,19.34,15.2,1020,100,7.26,2.28,117,20
200×80,H-200x80x3.2x3.2,200,80,3.2,3.2,11.32,8.89,689,27.4,7.8,1.55,68.9,6.84
200×80,H-200x80x3.2x4.5,200,80,3.2,4.5,13.31,10.4,874,38.5,8.1,1.7,87.4,9.61
200×100,H-200x100x3.2x3.2,200,100,3.2,3.2,12.6,9.89,813,53.4,8.04,2.06,81.3,10.7
200×100,H-200x100x3.2x4.5,200,100,3.2,4.5,15.11,11.9,1050,75.1,8.32,2.23,105,15
200×100,H-200x100x3.2x6,200,100,3.2,6,18.02,14.1,1310,100,8.52,2.36,131,20
200×150,H-200x150x3.2x4.5,200,150,3.2,4.5,19.61,15.4,1480,253,8.68,3.59,148,33.8
250×100,H-250x100x3.2x4.5,250,100,3.2,4.5,16.71,13.1,1730,75.1,10.2,2.12,138,15
250×100,H-250x100x3.2x6,250,100,3.2,6,19.62,15.4,2150,100,10.5,2.26,172,20
250×100,H-250x100x4.5x6,250,100,4.5,6,22.71,17.8,2290,100,10,2.1,183,20
250×100,H-250x100x4.5x9,250,100,4.5,9,28.44,22.3,3080,150,10.4,2.3,247,30
250×100,H-250x100x6x6,250,100,6,6,26.28,20.6,2460,100,9.68,1.95,197,20.1
250×125,H-250x125x3.2x4.5,250,125,3.2,4.5,18.96,14.9,2070,147,10.4,2.78,165,23.4
250×125,H-250x125x4.5x6,250,125,4.5,6,25.71,20.2,2740,195,10.3,2.76,219,31.3
300×150,H-300x150x3.2x4.5,300,150,3.2,4.5,22.81,17.9,3600,253,12.6,3.33,240,33.8
300×150,H-300x150x4.5x6,300,150,4.5,6,30.96,24.3,4790,338,12.4,3.3,319,45
