key,H,B,t1,t2,r1,r2,A,W,Cy,Ix,Iy,ix,iy,Zx,Zy
[-75x40x5x7,75,40,5,7,8,4,8.818,6.92,1.28,75.3,12.2,2.92,1.17,20.1,4.47
[-100x50x5x7.5,100,50,5,7.5,8,4,11.92,9.36,1.54,188,26,3.97,1.48,37.6,7.52
[-125x65x6x8,125,65,6,8,8,4,17.11,13.4,1.9,424,61.8,4.98,1.9,67.8,13.4
[-150x75x6.5x10,150,75,6.5,10,10,5,23.71,18.6,2.28,861,117,6.03,2.22,115,22.4
[-150x75x9x12.5,150,75,9,12.5,15,7.5,30.59,24,2.31,1050,147,5.86,2.19,140,28.3
[-180x75x7x10.5,180,75,7,10.5,11,5.5,27.2,21.4,2.13,1380,131,7.12,2.19,153,24.3
[-200x80x7.5x11,200,80,7.5,11,12,6,31.33,24.6,2.21,1950,168,7.88,2.32,195,29.1
[-200x90x8x13.5,200,90,8,13.5,14,7,38.65,30.3,2.74,2490,277,8.02,2.68,249,44.2
[-250x90x9x13,250,90,9,13,14,7,44.07,34.6,2.4,4180,294,9.74,2.58,334,44.5
[-300x90x9x13,300,90,9,13,14,7,48.57,38.1,2.22,6440,309,11.5,2.52,429,45.7
