key,type,部材,列,ボルト,gt,B,S,l①,l②,l③,短期許容耐力
［-100×50×5.0×7.5,溝形鋼,［-100×50×5.0×7.5,1列,5-M20,9,130,8,,161,177,166.1
［-125×65×6.0×8.0,溝形鋼,［-125×65×6.0×8.0,1列,6-M20,9,180,8,,229,245,248.8
［-150×75×6.5×10.0,溝形鋼,［-150×75×6.5×10.0,千鳥,8-M20,9,240,8,,295,311,334.7
［-150×75×9.0×12.5,溝形鋼,［-150×75×9.0×12.5,千鳥,9-M20,9,300,8,,382,398,434.5
［-200×90×8.0×13.5,溝形鋼,［-200×90×8.0×13.5,2列,10-M20,12,300,10,,394,414,540
2［-100×50×5.0×7.5,溝形鋼,2［-100×50×5.0×7.5,1列,5-M20,12,205,10,,288,308,508.5
2［-125×65×6.0×8.0,溝形鋼,2［-125×65×6.0×8.0,1列,6-M20,16,220,13,,327,353,742.1
2［-150×75×6.5×10.0,溝形鋼,2［-150×75×6.5×10.0,千鳥,8-M20,16,305,13,,440,466,1022
2［-150×75×9.0×12.5,溝形鋼,2［-150×75×9.0×12.5,千鳥,10-M20,16,380,13,,557,583,1309.8
2［-200×90×8.0×13.5,溝形鋼,2［-200×90×8.0×13.5,2列,12-M20,19,410,16,,565,597,1618.2
FB-65×6,平鋼,FB-65×6,,2-M16,6,65,6,117,71,83,66.3
FB-75×6,平鋼,FB-75×6,,2-M16,6,75,6,142,83,95,80.4
FB-65×9,平鋼,FB-65×9,,3-M16,9,65,8,131,82,98,99.4
FB-75×9,平鋼,FB-75×9,,3-M16,9,75,8,159,96,112,120.6
FB-90×9,平鋼,FB-90×9,,3-M20,9,90,8,190,111,127,143.8
FB-100×9,平鋼,FB-100×9,,3-M20,9,100,8,218,125,141,165
FB-90×12,平鋼,FB-90×12,,3-M20,12,90,10,202,121,141,191.8
FB-100×12,平鋼,FB-100×12,,4-M20,12,100,10,232,136,156,220
FB-90×16,平鋼,FB-90×16,,4-M20,12,115,10,270,155,175,255.7
FB-100×16,平鋼,FB-100×16,,5-M20,12,130,10,309,175,195,293.3
L-65×65×6,山形鋼（シングル）,L-65×65×6,,5-M16,9,90,8,170,101,117,105.6
L-75×75×6,山形鋼（シングル）,L-75×75×6,,5-M16,9,95,8,202,117,133,126.8
L-75×75×9,山形鋼（シングル）,L-75×75×9,,5-M16,9,125,8,291,162,178,180.8
L-75×75×12,山形鋼（シングル）,L-75×75×12,,6-M16,9,160,8,362,197,213,232.6
L-90×90×7,山形鋼（シングル）,L-90×90×7,,5-M20,9,125,8,282,157,173,176.9
L-90×90×10,山形鋼（シングル）,L-90×90×10,,5-M20,9,165,8,389,211,227,242
L-90×90×13,山形鋼（シングル）,L-90×90×13,,6-M20,12,160,10,395,218,238,305.5
L-100×100×7,山形鋼（シングル）,L-100×100×7,,4-M20,9,135,8,303,168,184,201.6
L-100×100×10,山形鋼（シングル）,L-100×100×10,,5-M20,9,185,8,443,238,254,277.3
L-100×100×13,山形鋼（シングル）,L-100×100×13,,6-M20,12,180,10,448,244,264,351.3
2L-65×65×6,山形鋼（ダブル・背中合わせ）,2L-65×65×6,,5-M16,9,165,8,339,216,232,303
2L-75×75×6,山形鋼（ダブル・背中合わせ）,2L-75×75×6,,5-M16,9,190,8,474,253,269,359.4
2L-75×75×9,山形鋼（ダブル・背中合わせ）,2L-75×75×9,,5-M20,12,205,10,531,286,306,503.4
2L-75×75×12,山形鋼（ダブル・背中合わせ）,2L-75×75×12,,7-M16,12,260,10,667,354,374,633.2
2L-90×90×7,山形鋼（ダブル・背中合わせ）,2L-90×90×7,,5-M20,12,205,10,529,285,305,502
2L-90×90×10,山形鋼（ダブル・背中合わせ）,2L-90×90×10,,5-M20,12,270,10,733,387,407,695.6
2L-90×90×13,山形鋼（ダブル・背中合わせ）,2L-90×90×13,,7-M20,12,340,10,933,487,507,886
2L-100×100×7,山形鋼（ダブル・背中合わせ）,2L-100×100×7,,5-M20,12,225,10,598,319,339,567.8
2L-100×100×10,山形鋼（ダブル・背中合わせ）,2L-100×100×10,,6-M20,12,305,10,832,436,456,789.6
2L-100×100×13,山形鋼（ダブル・背中合わせ）,2L-100×100×13,,8-M20,12,385,10,1062,551,571,1008.2
2L-65×65×6,山形鋼（ダブル・並列）,2L-65×65×6,,5×2-M16,9,160,8,339,186,202,211.3
2L-75×75×6,山形鋼（ダブル・並列）,2L-75×75×6,,5×2-M16,9,185,8,404,218,234,253.6
2L-75×75×9,山形鋼（ダブル・並列）,2L-75×75×9,,5×2-M16,9,250,8,581,307,323,361.6
2L-75×75×12,山形鋼（ダブル・並列）,2L-75×75×12,,6×2-M16,9,315,8,723,378,394,465.3
2L-90×90×7,山形鋼（ダブル・並列）,2L-90×90×7,,5×2-M20,9,250,8,564,298,314,353.9
2L-90×90×10,山形鋼（ダブル・並列）,2L-90×90×10,,5×2-M20,9,330,8,777,405,421,484.1
2L-90×90×13,山形鋼（ダブル・並列）,2L-90×90×13,,6×2-M20,12,320,10,789,415,435,611
2L-100×100×7,山形鋼（ダブル・並列）,2L-100×100×7,,4×2-M20,9,270,8,605,319,335,403.2
2L-100×100×10,山形鋼（ダブル・並列）,2L-100×100×10,,5×2-M20,9,370,8,885,459,475,554.6
2L-100×100×13,山形鋼（ダブル・並列）,2L-100×100×13,,6×2-M20,12,355,10,896,468,488,702.6
