key,板厚,m当たりZ12,m当たりZ27,m2当たりZ12,m2当たりZ27,I,Z
JF75ME-07,0.7,7.11,7.36,11.3,11.7,105,20.3
JF75ME-08,0.8,8.09,8.34,12.8,13.2,120,23.2
JF75ME-10,1,10,10.3,16,16.3,151,24.7
JF75ME-12,1.2,12,12.3,19.1,19.5,180,30.3
JF75ME-14,1.4,14,14.2,22.2,22.6,208,35.7
JF75ME-16,1.6,15.9,16.2,25.3,25.7,235,40.8
JF75MW-07,0.7,7.11,7.36,11.3,11.7,105,20.3
JF75MW-08,0.8,8.09,8.34,12.8,13.2,120,23.2
JF75MW-10,1,10,10.3,16,16.3,151,24.7
JF75MW-12,1.2,12,12.3,19.1,19.5,180,30.3
JF75MW-14,1.4,14,14.2,22.2,22.6,208,35.7
JF75MW-16,1.6,15.9,16.2,25.3,25.7,235,40.8
JF75-08,0.8,7.95,8.19,12.6,13,120,18.7
JF75-10,1,9.88,10.1,15.7,16.1,150,24.4
JF75-12,1.2,11.8,12.1,18.7,19.1,180,29.4
JF75-14,1.4,13.7,14,21.8,22.2,206,34.4
JF75-16,1.6,15.7,15.9,24.9,25.2,232,39.3
JF75Wα-08,0.8,7.97,8.21,12.6,13,125,20.2
JF75W-08,0.8,7.97,8.21,12.6,13,120,18.7
JF75Wα-10,1,9.88,10.1,15.7,16.1,156,25.6
JF75W-10,1,9.88,10.1,15.7,16.1,150,24.4
JF75Wα-12,1.2,11.8,12,18.7,19.1,185,31
JF75W-12,1.2,11.8,12,18.7,19.1,180,29.4
JF75Wα-14,1.4,13.6,13.9,21.6,22,212,36.2
JF75W-14,1.4,13.6,13.9,21.6,22,206,34.4
JF75Wα-16,1.6,15.5,15.7,24.6,25,239,41.4
JF75W-16,1.6,15.5,15.7,24.6,25,232,39.3
JF100M-07,0.7,5.42,5.6,13.5,14,250,37.3
JF100M-08,0.8,6.15,6.34,15.4,15.9,284,42.6
JF100M-10,1,7.62,7.81,19.1,19.5,352,46.6
JF100M-12,1.2,9.08,9.26,22.7,23.2,417,56.2
JF100M-14,1.4,10.5,10.7,26.3,26.8,482,65.9
JF100M-16,1.6,12,12.1,29.9,30.4,545,75.6
JF100-08,0.8,6.11,6.29,15.3,15.7,271,34
JF100-10,1,7.57,7.75,18.9,19.4,352,46.8
JF100-12,1.2,9.01,9.2,22.5,23,420,56.4
JF100-14,1.4,10.5,10.6,26.2,26.5,485,66.5
JF100-16,1.6,11.9,12.1,29.8,30.2,550,76.2
