key,材種,ねじの呼び,基準軸径,軸部断面積,ねじ部有効断面積,短期許容引張耐力,全塑性引張耐力,短期許容せん断耐力,最大せん断耐力
ABR400-M16,ABR400,M16,14.54,166,157,,39,21.3,36.3
ABR400-M18,ABR400,M18,16.2,206,192,,48.4,26,44.3
ABR400-M20,ABR400,M20,18.2,260,245,,61.1,33.2,56.6
ABR400-M22,ABR400,M22,20.2,320,303,,75.2,41.1,69.9
ABR400-M24,ABR400,M24,21.85,375,353,,88.1,47.9,81.4
ABR400-M27,ABR400,M27,24.85,485,459,,114,62.4,106
ABR400-M30,ABR400,M30,27.51,594,561,,140,76.2,129
ABR400-M33,ABR400,M33,30.51,731,694,,172,94.1,161
ABR400-M36,ABR400,M36,33.17,864,817,,203,111,189
ABR400-M39,ABR400,M39,36.17,1030,976,,242,132,225
ABR400-M42,ABR400,M42,38.83,1180,1120,,277,152,259
ABR400-M45,ABR400,M45,41.83,1370,1310,,295,163,303
ABR400-M48,ABR400,M48,44.48,1550,1470,,333,182,339
ABR490-M16,ABR490,M16,14.54,166,157,,54,29.4,44.4
ABR490-M18,ABR490,M18,16.2,206,192,,67,36,54.3
ABR490-M20,ABR490,M20,18.2,260,245,,84.5,46,69.3
ABR490-M22,ABR490,M22,20.2,320,303,,104,56.9,85.7
ABR490-M24,ABR490,M24,21.85,375,353,,122,66.4,99.9
ABR490-M27,ABR490,M27,24.85,485,459,,158,86,130
ABR490-M30,ABR490,M30,27.51,594,561,,193,105,159
ABR490-M33,ABR490,M33,30.51,731,694,,238,130,196
ABR490-M36,ABR490,M36,33.17,864,817,,281,154,231
ABR490-M39,ABR490,M39,36.17,1030,976,,335,183,276
ABR490-M42,ABR490,M42,38.83,1180,1120,,384,210,317
ABR490-M45,ABR490,M45,41.83,1370,1310,,404,223,371
ABR490-M48,ABR490,M48,44.48,1550,1470,,457,251,416
ABM400-M24,ABM400,M24,,452,384,90.2,106,52.1,88.9
ABM400-M27,ABM400,M27,,573,496,117,135,67.5,114
ABM400-M30,ABM400,M30,,707,621,146,166,84.3,143
ABM400-M33,ABM400,M33,,855,761,179,201,103,176
ABM400-M36,ABM400,M36,,1020,865,203,240,117,200
ABM400-M39,ABM400,M39,,1190,1030,242,280,140,238
ABM400-M42,ABM400,M42,,1390,1210,260,299,150,279
ABM400-M45,ABM400,M45,,1590,1340,288,342,166,309
ABM400-M48,ABM400,M48,,1810,1540,331,389,191,356
ABM490-M24,ABM490,M24,,452,384,125,147,72.2,109
ABM490-M27,ABM490,M27,,573,496,161,186,93,140
ABM490-M30,ABM490,M30,,707,621,202,230,117,176
ABM490-M33,ABM490,M33,,855,761,247,278,143,215
ABM490-M36,ABM490,M36,,1020,865,281,332,162,245
ABM490-M39,ABM490,M39,,1190,1030,335,387,193,292
ABM490-M42,ABM490,M42,,1390,1210,357,410,206,342
ABM490-M45,ABM490,M45,,1590,1340,395,469,228,379
ABM490-M48,ABM490,M48,,1810,1540,454,534,262,436
ABM490-M52,ABM490,M52,,2120,1820,537,625,310,515
ABM490-M56,ABM490,M56,,2460,2140,631,726,364,606
ABM490-M60,ABM490,M60,,2830,2480,732,835,423,701
ABM490-M64,ABM490,M64,,3220,2850,841,950,486,807
ABM490-M68,ABM490,M68,,3630,3240,956,1070,552,917
ABM490-M72,ABM490,M72,,4070,3460,1020,1200,589,979
ABM490-M76,ABM490,M76,,4540,3890,1150,1340,664,1100
ABM490-M80,ABM490,M80,,5030,4340,1280,1480,739,1230
ABM490-M85,ABM490,M85,,5670,4950,1460,1670,843,1400
ABM490-M90,ABM490,M90,,6360,5590,1650,1880,953,1580
ABM490-M95,ABM490,M95,,7090,6270,1850,2090,1070,1770
ABM490-M100,ABM490,M100,,7850,6990,2060,2320,1190,1980
